State_code,State_Name,Rate_Beer,Rate_Per_Liter_Beer,Rate_Wine,Rate_Per_Liter_Wine,Rate_Liquor,Rate_Per_Liter_Liquor
AL,Alabama,0.53,0.14001125373473416,1.7,0.4490927006585812,null,null
AR,Arkansas,0.23,0.06075960067733746,0.75,0.19812913264349172,2.5,0.6604304421449724
AZ,Arizona,0.16,0.04226754829727823,0.84,0.22190462856071072,3.0,0.7925165305739669
CA,California,0.2,0.05283443537159779,0.2,0.05283443537159779,3.3,0.8717681836313635
CO,Colorado,0.08,0.021133774148639116,0.28,0.07396820952023692,2.28,0.6023125632362147
CT,Connecticut,0.24,0.06340132244591734,0.79,0.2086960197178113,5.94,1.5691827305364545
DE,Delaware,0.26,0.06868476598307713,1.63,0.43060064827852196,4.5,1.1887747958609503
FL,Florida,0.48,0.12680264489183468,2.25,0.5943873979304751,6.5,1.7171191495769282
GA,Georgia,0.85,0.2245463503292906,2.34,0.6181628938476941,4.62,1.220475457083909
IA,Iowa,0.19,0.0501927136030179,1.75,0.4623013095014807,null,null
ID,Idaho,0.15,0.03962582652869834,0.45,0.11887747958609503,null,null
IL,Illinois,0.23,0.06075960067733746,1.39,0.3671993258326046,8.55,2.2586721121358058
IN,Indiana,0.12,0.03170066122295867,0.47,0.1241609231232548,2.68,0.7079814339794104
KS,Kansas,0.18,0.04755099183443801,0.3,0.07925165305739668,2.5,0.6604304421449724
KY,Kentucky,0.08,0.021133774148639116,0.5,0.13208608842899447,1.92,0.5072105795673387
LA,Louisiana,0.4,0.10566887074319559,0.76,0.2007708544120716,3.03,0.8004416958797065
MA,Massachussetts,0.11,0.029058939454378784,0.55,0.14529469727189392,4.05,1.0698973162748553
MD,Maryland,0.09,0.023775495917219006,0.4,0.10566887074319559,1.5,0.39625826528698344
ME,Maine,0.35,0.09246026190029613,0.6,0.15850330611479335,null,null
MI,Michigan,0.2,0.05283443537159779,0.51,0.13472781019757438,null,null
MN,Minnesota,0.15,0.03962582652869834,0.3,0.07925165305739668,5.03,1.3287860495956845
MO,Missouri,0.06,0.015850330611479335,0.42,0.11095231428035536,2.0,0.5283443537159779
MS,Mississippi,0.43,0.11359403604893525,0.35,0.09246026190029613,null,null
MT,Montana,0.14,0.03698410476011846,1.06,0.28002250746946833,null,null
NC,North Carolina,0.62,0.16378674965195314,1.0,0.26417217685798894,null,null
ND,North Dakota,0.16,0.04226754829727823,0.5,0.13208608842899447,2.5,0.6604304421449724
NE,Nebraska,0.31,0.08189337482597657,0.95,0.2509635680150895,3.75,0.9906456632174586
NH,New Hampshire,0.3,0.07925165305739668,null,null,null,null
NJ,New Jersey,0.12,0.03170066122295867,0.88,0.23247151563503027,5.5,1.4529469727189392
NM,New Mexico,0.41,0.10831059251177547,1.7,0.4490927006585812,6.06,1.600883391759413
NV,Nevada,0.16,0.04226754829727823,0.7,0.18492052380059226,3.6,0.9510198366887602
NY,New York,0.14,0.03698410476011846,0.3,0.07925165305739668,6.44,1.701268818965449
OH,Ohio,0.18,0.04755099183443801,0.32,0.08453509659455646,0.0,0.0
OK,Oklahoma,0.4,0.10566887074319559,0.72,0.19020396733775205,5.56,1.4687973033304185
OR,Oregon,0.08,0.021133774148639116,0.67,0.1769953584948526,null,null
PA,Pennsylvania,0.08,0.021133774148639116,null,null,null,null
RI,Rhode Island,0.11,0.029058939454378784,1.4,0.3698410476011845,5.4,1.4265297550331404
SC,South Carolina,0.77,0.2034125761806515,1.08,0.2853059510066281,2.72,0.71854832105373
SD,South Dakota,0.27,0.07132648775165702,0.93,0.24568012447792975,3.93,1.0381966550518966
TN,Tennessee,1.29,0.34078210814680576,1.21,0.3196483339981666,4.4,1.1623575781751514
TX,Texas,0.19,0.0501927136030179,0.2,0.05283443537159779,2.4,0.6340132244591734
UT,Utah,0.41,0.10831059251177547,null,null,null,null
VA,Virginia,0.26,0.06868476598307713,1.51,0.39889998705556334,null,null
VT,Vermont,0.26,0.06868476598307713,0.55,0.14529469727189392,null,null
WA,Washington,0.26,0.06868476598307713,0.87,0.2298297938664504,14.27,3.7697369637635023
WI,Wisconsin,0.06,0.015850330611479335,0.25,0.06604304421449723,3.28,0.8664847400942037
WV,West Virginia,0.18,0.04755099183443801,1.0,0.26417217685798894,null,null
WY,Wyoming,0.02,0.005283443537159779,null,null,null,null
