State_Name,Year,Month,Total_Revenue,Total_Volume_Liters
Iowa,2012,1,1.591619422E7,1212082.49
Iowa,2012,2,1.811610407E7,1386565.53
Iowa,2012,3,1.813954575E7,1352873.0
Iowa,2012,4,2.000489697E7,1499566.78
Iowa,2012,5,2.219352124E7,1709432.64
Iowa,2012,6,2.185890307E7,1618025.95
Iowa,2012,7,2.069736378E7,1548759.04
Iowa,2012,8,2.153128284E7,1626636.12
Iowa,2012,9,1.818845315E7,1308896.52
Iowa,2012,10,3.271395393E7,2362800.93
Iowa,2012,11,1.977851492E7,1376736.26
Iowa,2012,12,2.606457963E7,1752904.16
Iowa,2013,1,1.783885012E7,1326088.83
Iowa,2013,2,1.82586057E7,1320254.62
Iowa,2013,3,1.822154354E7,1298132.87
Iowa,2013,4,2.216204069E7,1656555.23
Iowa,2013,5,2.240932458E7,1684864.35
Iowa,2013,6,1.97346211E7,1437004.53
Iowa,2013,7,2.263764659E7,1663535.57
Iowa,2013,8,2.155281963E7,1559804.95
Iowa,2013,9,1.912669282E7,1389415.98
Iowa,2013,10,3.214581144E7,2241359.78
Iowa,2013,11,1.780094964E7,1248725.59
Iowa,2013,12,2.621488697E7,1750707.92
Iowa,2014,1,2.004593262E7,1467399.73
Iowa,2014,2,1.918328226E7,1382314.37
Iowa,2014,3,1.932890611E7,1377646.26
Iowa,2014,4,2.26391723E7,1637259.89
Iowa,2014,5,2.09662642E7,1541196.87
Iowa,2014,6,2.442967797E7,1727003.45
Iowa,2014,7,2.194735274E7,1602277.98
Iowa,2014,8,2.117088708E7,1529543.56
Iowa,2014,9,2.343555256E7,1617234.98
Iowa,2014,10,2.654240809E7,1867398.29
Iowa,2014,11,2.027275974E7,1379794.87
Iowa,2014,12,3.062554242E7,2028542.26
Iowa,2015,1,1.849850831E7,1321350.06
Iowa,2015,2,2.122435241E7,1494080.57
Iowa,2015,3,2.326236971E7,1579862.27
Iowa,2015,4,2.285726333E7,1597903.84
Iowa,2015,5,2.243737096E7,1602766.25
Iowa,2015,6,2.708968313E7,1883666.33
Iowa,2015,7,2.24141655E7,1570712.72
Iowa,2015,8,2.211639755E7,1558103.91
Iowa,2015,9,2.411336017E7,1679661.15
Iowa,2015,10,2.591324807E7,1774251.9
Iowa,2015,11,2.371871506E7,1576465.1
Iowa,2015,12,3.068313791E7,1978878.37
Iowa,2016,1,1.901805536E7,1301957.43
Iowa,2016,2,2.280184248E7,1648109.82
Iowa,2016,3,2.370644634E7,1605508.78
Iowa,2016,4,2.266702461E7,1559814.74
Iowa,2016,5,2.581917616E7,1823960.99
Iowa,2016,6,2.733866999E7,1907398.36
Iowa,2016,7,2.198826562E7,1519271.12
Iowa,2016,8,2.447145897E7,1587701.81
Iowa,2016,9,2.531859387E7,1728796.12
Iowa,2016,10,2.731120992E7,1785493.13
Iowa,2016,11,2.643273484E7,1741649.46
Iowa,2016,12,3.257408669E7,2090602.25
Iowa,2017,1,2.006837286E7,1359767.73
Iowa,2017,2,2.308628925E7,1622074.66
Iowa,2017,3,2.501949126E7,1669404.45
Iowa,2017,4,2.317663027E7,1584324.56
Iowa,2017,5,2.822748587E7,1946475.91
Iowa,2017,6,2.862606196E7,1961078.66
Iowa,2017,7,2.520061471E7,1739276.35
Iowa,2017,8,2.764761017E7,1901480.55
Iowa,2017,9,2.446370755E7,1651396.86
Iowa,2017,10,3.07794221E7,1959416.59
Iowa,2017,11,2.684892802E7,1724606.13
Iowa,2017,12,3.138543079E7,1977547.66
Iowa,2018,1,2.260680694E7,1515722.01
Iowa,2018,2,2.286117642E7,1541561.03
Iowa,2018,3,2.487304123E7,1629002.73
Iowa,2018,4,2.621474669E7,1767687.51
Iowa,2018,5,3.018081839E7,2067618.27
Iowa,2018,6,2.857402726E7,1913407.58
Iowa,2018,7,2.619436803E7,1754940.87
Iowa,2018,8,3.050764051E7,2025107.25
Iowa,2018,9,2.380429069E7,1576146.33
Iowa,2018,10,3.460925341E7,2150140.11
Iowa,2018,11,2.876434345E7,1801354.85
Iowa,2018,12,3.502633005E7,2153293.63
Iowa,2019,1,2.346678259E7,1561962.78
Iowa,2019,2,2.464191049E7,1680941.57
Iowa,2019,3,2.498272836E7,1607152.37
Iowa,2019,4,2.778860785E7,1856193.5
Iowa,2019,5,3.275677327E7,2173322.88
Iowa,2019,6,2.887703096E7,1862667.64
Iowa,2019,7,3.096739969E7,2062816.38
Iowa,2019,8,2.842426329E7,1807243.96
Iowa,2019,9,2.807811123E7,1748074.93
Iowa,2019,10,3.444821335E7,2098335.56
Iowa,2019,11,3.027016451E7,1801591.59
Iowa,2019,12,3.451835604E7,2041118.86
Iowa,2020,1,2.479449826E7,1566948.29
Iowa,2020,2,2.57203039E7,1630476.37
Iowa,2020,3,3.121073311E7,1956066.81
Iowa,2020,4,3.198726468E7,2036555.55
Iowa,2020,5,3.208111418E7,2068350.67
Iowa,2020,6,3.6007843E7,2222712.87
Iowa,2020,7,3.42726542E7,2125808.96
Iowa,2020,8,3.372240812E7,2035082.29
Iowa,2020,9,3.678083935E7,2210607.59
Iowa,2020,10,3.74651991E7,2133652.39
Iowa,2020,11,3.182379614E7,1864413.41
Iowa,2020,12,4.079647762E7,2360985.85
Iowa,2021,1,2.866565986E7,1724364.71
Iowa,2021,2,2.961780595E7,1773047.1
Iowa,2021,3,3.665482886E7,2125044.05
Iowa,2021,4,3.473492183E7,2034894.67
Iowa,2021,5,3.365955494E7,2008617.1
Iowa,2021,6,3.889092925E7,2266311.36
Iowa,2021,7,3.517646762E7,2090866.67
Iowa,2021,8,3.650179874E7,2108430.81
Iowa,2021,9,3.583706102E7,2066298.68
Iowa,2021,10,3.808576236E7,2087140.47
Iowa,2021,11,3.800797791E7,2124126.41
Iowa,2021,12,4.229076706E7,2346222.78
Iowa,2022,1,2.75977083E7,1567197.99
Iowa,2022,2,2.947410093E7,1664280.51
Iowa,2022,3,3.022587455E7,1728013.63
Iowa,2022,4,3.478176159E7,1987119.31
Iowa,2022,5,3.594816734E7,2059474.94
Iowa,2022,6,3.861415241E7,2140200.88
Iowa,2022,7,3.379289314E7,1856693.68
Iowa,2022,8,4.137406824E7,2224390.0
Iowa,2022,9,3.662269361E7,2011197.09
Iowa,2022,10,3.968863258E7,2103830.43
Iowa,2022,11,3.751343863E7,2011078.91
Iowa,2022,12,4.314651217E7,2212619.05
Iowa,2023,1,3.254778489E7,1745533.18
Iowa,2023,2,3.211483148E7,1770074.88
Iowa,2023,3,3.64035059E7,2014654.94
Iowa,2023,4,3.288434437E7,1791898.37
Iowa,2023,5,3.968493397E7,2185563.07
Iowa,2023,6,4.119474913E7,2218165.12
Iowa,2023,7,3.583899987E7,1867670.43
Iowa,2023,8,3.978804398E7,2128266.55
Iowa,2023,9,3.509696396E7,1880754.65
Iowa,2023,10,4.02817589E7,2036159.24
Iowa,2023,11,3.928967349E7,2060220.98
Iowa,2023,12,4.094507258E7,2029585.88
Iowa,2024,1,3.297281284E7,1757426.22
Iowa,2024,2,3.510147545E7,1833717.67
Iowa,2024,3,3.416416929E7,1806155.89
Iowa,2024,4,3.638554787E7,1945657.32
Iowa,2024,5,3.935909565E7,2082952.64
Iowa,2024,6,3.676935828E7,1924118.66
Iowa,2024,7,3.756355773E7,1969592.41
Iowa,2024,8,3.652998119E7,1951273.95
Iowa,2024,9,3.441049022E7,1790693.41
Iowa,2024,10,4.26919152E7,2168116.26
Iowa,2024,11,4.009004222E7,2062415.01
Iowa,2024,12,4.119696768E7,2016311.19
Iowa,2025,1,3.111167766E7,1628652.24
Iowa,2025,2,3.130869575E7,1648290.37
Iowa,2025,3,3.351879861E7,1788695.48
Iowa,2025,4,3.549998635E7,1911599.12
Iowa,2025,5,3.558968349E7,1883996.82
Iowa,2025,6,3.594628101E7,1871257.4
Iowa,2025,7,3.609424239E7,1917621.75
Iowa,2025,8,3.421322646E7,1844603.6
Iowa,2025,9,3.515777273E7,1808985.73
Iowa,2025,10,4.00471357E7,2020449.04
